18:02:47.199 [ApplicationImpl pooled thread 150] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
18:07:16.515 [ApplicationImpl pooled thread 166] INFO  c.b.l.BrowserStackRunExtension - testng
18:07:16.515 [ApplicationImpl pooled thread 166] INFO  com.browserstack.utils.Helpers - null
18:07:16.516 [ApplicationImpl pooled thread 166] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
08:46:50.383 [ApplicationImpl pooled thread 6] INFO  c.b.l.BrowserStackRunExtension - testng
08:46:50.386 [ApplicationImpl pooled thread 6] INFO  com.browserstack.utils.Helpers - null
08:46:50.387 [ApplicationImpl pooled thread 6] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
08:48:47.513 [ApplicationImpl pooled thread 19] INFO  c.b.l.BrowserStackRunExtension - testng
08:48:47.513 [ApplicationImpl pooled thread 19] INFO  com.browserstack.utils.Helpers - null
08:48:47.513 [ApplicationImpl pooled thread 19] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
08:52:08.391 [ApplicationImpl pooled thread 2] INFO  c.b.l.BrowserStackRunExtension - testng
08:52:08.391 [ApplicationImpl pooled thread 2] INFO  com.browserstack.utils.Helpers - null
08:52:08.391 [ApplicationImpl pooled thread 2] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
08:53:34.534 [ApplicationImpl pooled thread 47] INFO  c.b.l.BrowserStackRunExtension - testng
08:53:34.534 [ApplicationImpl pooled thread 47] INFO  com.browserstack.utils.Helpers - null
08:53:34.534 [ApplicationImpl pooled thread 47] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
08:54:45.278 [ApplicationImpl pooled thread 47] INFO  c.b.l.BrowserStackRunExtension - testng
08:54:45.278 [ApplicationImpl pooled thread 47] INFO  com.browserstack.utils.Helpers - null
08:54:45.279 [ApplicationImpl pooled thread 47] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
09:10:48.620 [ApplicationImpl pooled thread 60] INFO  c.b.l.BrowserStackRunExtension - testng
09:10:48.620 [ApplicationImpl pooled thread 60] INFO  com.browserstack.utils.Helpers - null
09:10:48.620 [ApplicationImpl pooled thread 60] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
09:29:40.833 [ApplicationImpl pooled thread 75] INFO  c.b.l.BrowserStackRunExtension - testng
09:29:40.833 [ApplicationImpl pooled thread 75] INFO  com.browserstack.utils.Helpers - null
09:29:40.834 [ApplicationImpl pooled thread 75] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:05:35.594 [ApplicationImpl pooled thread 38] INFO  c.b.l.BrowserStackRunExtension - testng
11:05:35.596 [ApplicationImpl pooled thread 38] INFO  com.browserstack.utils.Helpers - null
11:05:35.597 [ApplicationImpl pooled thread 38] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:07:45.697 [ApplicationImpl pooled thread 46] INFO  c.b.l.BrowserStackRunExtension - testng
11:07:45.698 [ApplicationImpl pooled thread 46] INFO  com.browserstack.utils.Helpers - null
11:07:45.698 [ApplicationImpl pooled thread 46] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
